2019-12-02 00:00:00 Launching analysis for BacktestingAlgorithm.py with LEAN Engine v2.5.0.0
2019-12-02 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-12-02 00:00:00 Algorithm starting warm up...
2019-12-02 00:00:00 Unexpected exception during ValidateDateRange: 'BacktestingAlgorithm' object has no attribute 'assets'
2019-12-02 00:00:00 Initial capital set to: 2000000.0
2019-12-02 00:00:00 Assets: ['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'TSLA', 'JNJ', 'PG']
2019-12-02 00:00:00 Security added: AAPL
2019-12-02 00:00:00 Security added: MSFT
2019-12-02 00:00:00 Security added: GOOGL
2019-12-02 00:00:00 Security added: AMZN
2019-12-02 00:00:00 Security added: TSLA
2019-12-02 00:00:00 Security added: JNJ
2019-12-02 00:00:00 Security added: PG
2020-01-02 16:00:00 Received data for AAPL: Close Price = 74.3335163775
2020-01-02 16:00:00 No data available for MSFT at this time.
2020-01-02 16:00:00 Received data for GOOGL: Close Price = 1368.68
2020-01-02 16:00:00 No data available for AMZN at this time.
2020-01-02 16:00:00 No data available for TSLA at this time.
2020-01-02 16:00:00 No data available for JNJ at this time.
2020-01-02 16:00:00 No data available for PG at this time.
2020-01-03 16:00:00 Algorithm finished warming up.
2020-01-03 16:00:00 Received data for AAPL: Close Price = 73.6108465995
2020-01-03 16:00:00 No data available for MSFT at this time.
2020-01-03 16:00:00 Received data for GOOGL: Close Price = 1361.52
2020-01-03 16:00:00 No data available for AMZN at this time.
2020-01-03 16:00:00 No data available for TSLA at this time.
2020-01-03 16:00:00 No data available for JNJ at this time.
2020-01-03 16:00:00 No data available for PG at this time.
2020-01-06 16:00:00 Received data for AAPL: Close Price = 74.19739707
2020-01-06 16:00:00 No data available for MSFT at this time.
2020-01-06 16:00:00 Received data for GOOGL: Close Price = 1397.81
2020-01-06 16:00:00 No data available for AMZN at this time.
2020-01-06 16:00:00 No data available for TSLA at this time.
2020-01-06 16:00:00 No data available for JNJ at this time.
2020-01-06 16:00:00 No data available for PG at this time.
2020-01-07 16:00:00 Received data for AAPL: Close Price = 73.8484366635
2020-01-07 16:00:00 No data available for MSFT at this time.
2020-01-07 16:00:00 Received data for GOOGL: Close Price = 1395.11
2020-01-07 16:00:00 No data available for AMZN at this time.
2020-01-07 16:00:00 No data available for TSLA at this time.
2020-01-07 16:00:00 No data available for JNJ at this time.
2020-01-07 16:00:00 No data available for PG at this time.
2020-01-08 16:00:00 Received data for AAPL: Close Price = 75.0363869835
2020-01-08 16:00:00 No data available for MSFT at this time.
2020-01-08 16:00:00 Received data for GOOGL: Close Price = 1405.04
2020-01-08 16:00:00 No data available for AMZN at this time.
2020-01-08 16:00:00 No data available for TSLA at this time.
2020-01-08 16:00:00 No data available for JNJ at this time.
2020-01-08 16:00:00 No data available for PG at this time.
2020-01-09 16:00:00 Received data for AAPL: Close Price = 76.6302203295
2020-01-09 16:00:00 No data available for MSFT at this time.
2020-01-09 16:00:00 Received data for GOOGL: Close Price = 1419.79
2020-01-09 16:00:00 No data available for AMZN at this time.
2020-01-09 16:00:00 No data available for TSLA at this time.
2020-01-09 16:00:00 No data available for JNJ at this time.
2020-01-09 16:00:00 No data available for PG at this time.
2020-01-10 16:00:00 Received data for AAPL: Close Price = 76.8034630845
2020-01-10 16:00:00 No data available for MSFT at this time.
2020-01-10 16:00:00 Received data for GOOGL: Close Price = 1428.96
2020-01-10 16:00:00 No data available for AMZN at this time.
2020-01-10 16:00:00 No data available for TSLA at this time.
2020-01-10 16:00:00 No data available for JNJ at this time.
2020-01-10 16:00:00 No data available for PG at this time.
2020-01-13 16:00:00 Received data for AAPL: Close Price = 78.444319464
2020-01-13 16:00:00 No data available for MSFT at this time.
2020-01-13 16:00:00 Received data for GOOGL: Close Price = 1440.03
2020-01-13 16:00:00 No data available for AMZN at this time.
2020-01-13 16:00:00 No data available for TSLA at this time.
2020-01-13 16:00:00 No data available for JNJ at this time.
2020-01-13 16:00:00 No data available for PG at this time.
2020-01-14 16:00:00 Received data for AAPL: Close Price = 77.385063762
2020-01-14 16:00:00 No data available for MSFT at this time.
2020-01-14 16:00:00 Received data for GOOGL: Close Price = 1430.59
2020-01-14 16:00:00 No data available for AMZN at this time.
2020-01-14 16:00:00 No data available for TSLA at this time.
2020-01-14 16:00:00 No data available for JNJ at this time.
2020-01-14 16:00:00 No data available for PG at this time.
2020-01-15 16:00:00 Received data for AAPL: Close Price = 77.053427631
2020-01-15 16:00:00 No data available for MSFT at this time.
2020-01-15 16:00:00 Received data for GOOGL: Close Price = 1439.2
2020-01-15 16:00:00 No data available for AMZN at this time.
2020-01-15 16:00:00 No data available for TSLA at this time.
2020-01-15 16:00:00 No data available for JNJ at this time.
2020-01-15 16:00:00 No data available for PG at this time.
2020-01-16 16:00:00 Received data for AAPL: Close Price = 78.018637266
2020-01-16 16:00:00 No data available for MSFT at this time.
2020-01-16 16:00:00 Received data for GOOGL: Close Price = 1450.16
2020-01-16 16:00:00 No data available for AMZN at this time.
2020-01-16 16:00:00 No data available for TSLA at this time.
2020-01-16 16:00:00 No data available for JNJ at this time.
2020-01-16 16:00:00 No data available for PG at this time.
2020-01-17 16:00:00 Received data for AAPL: Close Price = 78.8823761445
2020-01-17 16:00:00 No data available for MSFT at this time.
2020-01-17 16:00:00 Received data for GOOGL: Close Price = 1479.52
2020-01-17 16:00:00 No data available for AMZN at this time.
2020-01-17 16:00:00 No data available for TSLA at this time.
2020-01-17 16:00:00 No data available for JNJ at this time.
2020-01-17 16:00:00 No data available for PG at this time.
2020-01-21 16:00:00 Received data for AAPL: Close Price = 78.3477985005
2020-01-21 16:00:00 No data available for MSFT at this time.
